N,P,K,Temperature,Humidity,ph,Rainfall,Crop
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,Rice
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,Rice
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,Rice
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,Rice
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,Rice
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,Rice
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,Rice
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,Rice
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,Rice
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,Rice
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,Rice
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,Rice
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,Rice
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,Rice
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,Rice
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,Rice
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,Rice
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,Rice
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,Rice
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,Rice
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,Rice
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,Rice
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,Rice
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,Rice
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,Rice
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,Rice
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,Rice
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,Rice
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,Rice
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,Rice
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,Rice
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,Rice
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,Rice
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,Rice
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,Rice
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,Rice
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,Rice
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,Rice
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,Rice
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,Rice
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,Rice
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,Rice
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,Rice
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,Rice
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,Rice
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,Rice
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,Rice
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,Rice
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,Rice
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,Rice
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,Rice
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,Rice
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,Rice
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,Rice
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,Rice
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,Rice
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,Rice
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,Rice
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,Rice
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,Rice
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,Rice
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,Rice
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,Rice
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,Rice
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,Rice
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,Rice
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,Rice
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,Rice
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,Rice
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,Rice
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,Rice
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,Rice
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,Maize
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,Maize
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,Maize
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,Maize
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,Maize
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,Maize
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,Maize
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,Maize
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,Maize
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,Maize
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,Maize
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,Maize
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,Maize
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,Maize
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,Maize
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,Maize
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,Maize
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,Maize
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,Maize
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,Maize
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,Maize
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,Maize
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,Maize
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,Maize
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,Maize
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,Maize
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,Maize
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,Maize
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,Maize
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,Maize
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,Maize
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,Maize
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,Maize
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,Maize
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,Maize
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,Maize
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,Maize
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,Maize
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,Maize
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,Maize
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,Maize
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,Maize
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,Maize
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,Maize
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,Maize
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,Maize
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,Maize
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,Maize
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,Maize
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,Maize
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,Maize
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,Maize
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,Maize
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,Maize
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,Maize
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,Maize
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,Maize
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,Maize
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,Maize
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,Maize
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,Maize
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,Maize
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,Maize
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,Maize
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,Maize
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,Maize
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,Maize
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,Maize
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,Maize
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,Maize
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,Maize
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,Maize
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,Maize
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,Maize
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,Maize
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,Maize
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,Maize
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,Maize
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,Maize
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,Maize
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,Maize
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,Maize
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,Maize
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,Maize
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,Maize
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,Maize
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,Maize
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,Maize
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,Maize
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,Maize
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,Maize
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,Maize
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,Maize
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,Maize
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,Maize
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,Maize
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,Maize
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,Maize
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,Maize
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,Maize
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,Banana
105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,Banana
108,92,53,27.40053601,82.96221306,6.276800323,104.9378,Banana
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,Banana
80,77,49,26.05433004,79.39654531,5.519088423,113.2297373,Banana
93,94,53,25.86632408,84.42379269,6.079178788,114.5357503,Banana
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,Banana
108,89,53,29.55054817,78.06762846,5.808497604,99.34482238,Banana
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,Banana
105,77,52,29.16226551,76.16151562,5.816622479,100.0075679,Banana
118,88,52,28.65003945,82.68752542,5.843163161,98.75084366,Banana
101,87,54,29.07311132,76.50045221,6.376756633,100.1692639,Banana
95,75,50,28.08166093,75.26429821,5.623615687,118.2761894,Banana
106,85,53,27.1994597,78.8086068,5.91505509,99.72430835,Banana
86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,Banana
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,Banana
85,95,47,25.94019018,78.3422098,6.211833161,119.84797,Banana
109,79,45,27.66752761,79.68542782,6.490074429,108.66464,Banana
100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,Banana
117,86,48,28.6956201,82.54195839,6.225225239,116.1616839,Banana
114,94,53,26.33544853,76.8532006,6.190757459,118.6858263,Banana
110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,Banana
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,Banana
80,71,47,27.50527651,80.79783998,6.156373499,105.0776992,Banana
114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,Banana
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,Banana
112,73,48,29.2440638,77.32017166,5.707488987,90.66727868,Banana
117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,Banana
111,87,48,26.3985515,81.36028902,5.571401169,98.16752001,Banana
89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,Banana
93,91,47,27.84767901,83.31110751,6.101241579,117.2878912,Banana
92,81,52,27.39341554,81.4654833,6.438137279,94.31102057,Banana
105,74,45,25.14517635,81.38204104,6.098369122,119.218154,Banana
102,71,48,28.65456263,79.28693687,5.695267822,102.4633775,Banana
94,91,51,29.16093424,76.67484233,5.618094446,109.575944,Banana
116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,Banana
117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,Banana
119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,Banana
99,73,53,26.29039046,81.06003778,5.871702211,118.6730366,Banana
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,Banana
80,90,47,26.59743595,79.35898915,6.21084479,107.3944717,Banana
101,70,48,25.36059237,75.03193255,6.012696655,116.5531455,Banana
108,89,53,29.12036889,80.18080728,5.908770059,112.3982055,Banana
100,80,52,27.53911354,77.25629897,6.049801781,110.3262123,Banana
109,91,53,29.66727337,83.51014178,6.010095853,110.2511102,Banana
82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,Banana
106,70,55,25.86824781,78.52399914,5.74055541,116.3019555,Banana
90,86,52,25.85036988,81.95580471,5.793260262,119.0856171,Banana
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,Banana
119,90,48,28.66725136,79.59242542,5.986442306,118.2583441,Banana
107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,Banana
116,81,55,26.42313317,83.6995044,5.915546415,95.12322062,Banana
101,75,50,26.59386409,81.40740301,6.242528278,109.9825551,Banana
93,81,50,27.71822477,76.57853189,6.036079266,102.2099836,Banana
95,75,45,28.98333432,82.95958244,5.829898502,109.022564,Banana
107,71,55,29.42017919,83.96754496,6.088064451,117.229079,Banana
83,94,47,27.39872329,81.10523402,6.469370954,112.1355384,Banana
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,Banana
86,79,45,27.81251452,82.69285419,5.80766417,99.20961514,Banana
117,86,53,25.19640218,83.55829874,5.703381728,115.8586081,Banana
111,79,53,28.31193338,75.77363772,6.165001278,119.695765,Banana
95,74,50,25.90113128,80.47152737,6.002481605,110.10323,Banana
91,75,55,27.48612983,76.11239849,6.212369363,109.2768851,Banana
93,83,46,29.38254012,83.50423735,5.765308943,109.2486647,Banana
92,85,51,29.22118628,81.08183635,5.740764682,108.8616474,Banana
104,80,54,27.09062164,81.33506906,5.879119455,110.1331182,Banana
103,72,51,26.12643374,81.81365007,6.099478745,104.4812858,Banana
92,75,45,29.01207743,77.95192527,5.674403359,90.43495443,Banana
93,85,49,27.96799119,79.28625709,5.694243847,119.4765557,Banana
120,87,52,28.0764455,76.05522115,5.905494703,118.9923573,Banana
108,72,46,25.16278237,84.97849241,6.110844721,90.94554618,Banana
105,88,54,25.78749808,84.51194224,6.020445317,114.2005455,Banana
98,79,50,25.34119774,84.47321314,6.435917308,91.06493353,Banana
111,88,55,29.44795403,78.34971537,5.505393833,96.45042585,Banana
97,74,45,26.47522633,78.51833782,5.677719902,113.1161095,Banana
95,82,48,27.39489579,83.31172003,5.719014989,92.78133617,Banana
89,91,55,25.08347445,80.261731,6.275572298,94.32961456,Banana
89,85,55,26.6719835,76.48541655,6.275384607,91.73358569,Banana
118,88,51,25.44926208,79.49221962,6.201911642,100.6619171,Banana
101,92,45,28.22776705,80.6430384,5.758054257,98.00403016,Banana
99,92,47,28.1279509,77.48247073,6.323933647,103.5045395,Banana
82,77,46,28.9470467,82.1888998,5.901100841,95.83016448,Banana
90,86,55,27.96236771,84.15403614,5.644486582,97.55986676,Banana
95,88,52,28.00316034,78.90085998,6.235461772,94.68180316,Banana
104,73,46,29.1400919,80.1190228,6.28236237,90.45142867,Banana
102,73,52,27.9122104,83.36307683,6.356090905,90.24211529,Banana
100,74,52,25.43480512,81.53977797,5.837258235,96.47800391,Banana
94,89,48,28.55980972,84.51602322,5.653437902,111.0843029,Banana
99,70,46,26.59580783,82.99556744,5.727469947,100.5123341,Banana
112,87,48,27.19711623,77.3970629,6.200111068,99.46950465,Banana
117,82,45,25.29391516,79.29122198,5.614471478,105.4220251,Banana
96,86,51,29.90888522,76.98740841,6.257369799,91.99964712,Banana
113,85,45,27.94972463,76.63713353,6.037430836,109.0921631,Banana
105,93,46,25.01018457,78.76260938,5.760457558,108.3690513,Banana
85,89,51,29.21144871,84.70189923,6.158164422,108.5501443,Banana
108,94,47,27.35911627,84.54625006,6.387431383,90.81250457,Banana
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,Banana
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,Banana
82,75,55,27.34585147,78.4873835,6.281069505,92.15524332,Banana
117,81,53,29.50704598,78.20585613,5.507641778,98.12565829,Banana
133,47,24,24.40228894,79.19732001,7.231324765,90.8022356,Cotton
136,36,20,23.09595631,84.86275707,6.925412377,71.29581071,Cotton
104,47,18,23.9656349,76.97696717,7.633437412,90.75616738,Cotton
133,47,23,24.88738107,75.62137159,6.827354668,89.76050416,Cotton
126,38,23,25.36243778,83.63276077,6.176716425,88.43618918,Cotton
126,50,19,24.69457084,81.7358876,6.628722836,78.58494391,Cotton
113,41,20,25.0017188,80.53965818,7.256877571,96.32600992,Cotton
121,45,22,22.45942937,81.30681027,6.443785385,64.23026638,Cotton
121,47,16,23.60564038,79.29573149,7.723240151,72.49800885,Cotton
129,60,22,24.58453146,79.12404171,5.947448589,71.94608134,Cotton
107,45,25,23.0865933,83.55546146,7.227745516,71.84080724,Cotton
122,59,18,23.5000992,83.63488952,6.219469084,79.81328183,Cotton
140,38,15,24.1472953,75.88298598,6.021439523,69.91563467,Cotton
102,49,21,24.69315538,84.84422454,6.253343655,89.799462,Cotton
111,40,25,24.484692,84.44932014,6.187455799,90.94342484,Cotton
131,35,18,24.49112609,82.24415809,7.057693366,64.02949379,Cotton
135,43,16,23.47986888,81.73049149,6.720449769,86.76287924,Cotton
100,46,18,24.18586246,76.04203958,6.431689506,69.08056728,Cotton
123,39,24,25.00755095,78.17952126,7.453106264,86.06411872,Cotton
117,56,15,25.99237426,77.0543546,7.368258226,89.1188212,Cotton
121,36,24,23.66457347,81.69105088,7.352401887,99.36898373,Cotton
101,58,18,25.66891439,81.38103349,6.652143699,78.59595817,Cotton
107,42,24,22.04612876,84.62978302,6.144631795,86.00758678,Cotton
100,41,22,22.4204752,84.55794703,7.318802162,93.46595573,Cotton
125,39,21,25.03149561,82.21276599,7.954629324,95.0191318,Cotton
105,60,23,23.53371386,77.21705554,6.207652157,87.54004943,Cotton
102,46,19,22.77076388,82.5993307,6.631005298,81.49543437,Cotton
131,49,22,25.49848236,79.9751579,7.306918817,67.05961949,Cotton
139,35,15,25.248679,83.4630147,5.898293044,86.55517751,Cotton
108,36,19,22.78249615,77.51235009,7.238566893,64.61444234,Cotton
118,45,23,23.37044424,77.43198948,7.977651226,71.67870701,Cotton
107,51,22,24.86560781,78.22080815,5.983075895,79.56866268,Cotton
125,60,17,24.14386157,84.51591287,6.785723961,80.36146974,Cotton
113,37,20,25.03300222,79.04368718,7.393441155,97.10087029,Cotton
131,52,16,23.65724079,84.47601498,6.486068274,88.54479121,Cotton
115,48,16,25.54359718,84.09229796,7.175934962,88.94245493,Cotton
113,38,25,22.00085141,79.47270984,7.388265888,90.42224164,Cotton
111,41,18,23.64328417,78.1258666,6.10539819,80.96157332,Cotton
111,53,19,23.96436009,78.02763149,6.419536555,84.63148859,Cotton
122,48,16,24.65425757,75.6350708,6.307585854,61.82980133,Cotton
108,46,17,24.3017998,84.87668973,6.93221485,65.0247867,Cotton
132,41,22,24.29144926,81.02453404,7.810865753,90.41694635,Cotton
103,42,17,24.29470232,84.61527627,6.527541661,81.05902285,Cotton
133,50,25,25.72180042,81.19666206,7.569454601,99.93100821,Cotton
127,37,18,24.87663664,76.30050373,7.041065585,91.9223468,Cotton
110,39,25,22.60612115,77.34264002,7.208795456,75.13617229,Cotton
131,38,19,23.86814008,75.68339729,6.814341946,90.4547185,Cotton
108,38,24,23.41022496,76.43836957,7.442217061,78.82199603,Cotton
122,40,17,24.96440768,81.31677618,6.854558957,80.03995829,Cotton
111,50,15,25.16820129,80.30351815,7.884550475,84.62419032,Cotton
140,40,17,22.72767171,77.07598065,6.006085786,77.55176318,Cotton
100,40,20,22.45145981,76.25674874,7.432043735,86.84998693,Cotton
123,50,16,23.04920461,75.53835214,6.498052108,70.65644296,Cotton
107,36,21,25.29250148,75.66653335,6.205263534,62.64174227,Cotton
118,50,19,22.95604064,82.33733678,6.360812227,66.48339303,Cotton
103,51,20,22.80213132,84.14668447,7.046607434,91.6389565,Cotton
133,57,19,23.54234715,75.98203329,7.947011366,84.12536744,Cotton
129,47,20,24.41212325,80.80343786,6.281913858,98.60457373,Cotton
116,52,19,22.94276687,75.37170612,6.114525877,67.08022574,Cotton
114,40,23,25.53676123,81.13668716,6.753978061,95.4262599,Cotton
131,60,17,25.32023717,81.79475917,7.425041316,83.46532547,Cotton
107,43,18,22.426733,81.53480799,6.745104394,65.54475812,Cotton
123,44,21,25.78544484,75.00539324,7.641116569,91.39578861,Cotton
112,49,25,25.68959532,77.90621048,6.470135478,66.19426787,Cotton
119,44,15,22.14593688,82.8597549,7.091992365,60.65381719,Cotton
130,59,19,25.07278712,82.50257909,6.520403794,93.51042684,Cotton
127,53,24,22.21506982,76.17851932,6.127939628,70.40557612,Cotton
134,52,18,23.9643129,76.59175937,7.994679507,76.13090645,Cotton
109,36,18,25.40059227,76.53237965,7.524707577,62.5138867,Cotton
100,48,17,23.7805123,83.03878838,7.827877818,66.26555904,Cotton
132,52,19,24.16402322,76.7433897,6.436691764,61.94626051,Cotton
102,37,25,25.31468463,77.91757121,5.907930899,72.82902109,Cotton
111,39,22,22.60361557,80.3509046,6.135025006,88.57395505,Cotton
117,51,15,22.9535715,78.71555832,6.044556594,99.75336197,Cotton
136,36,24,22.74446976,80.41198458,7.59781958,90.07326633,Cotton
134,56,18,23.80834611,83.91902605,6.691268104,70.97358303,Cotton
112,54,15,25.46228792,81.56641891,6.175492306,76.88582484,Cotton
105,56,15,25.96779712,81.97904282,7.272316209,74.14169043,Cotton
140,45,15,25.5308271,80.04662756,5.801047545,99.39557151,Cotton
126,46,25,24.43847399,81.69801729,6.757457943,60.79645852,Cotton
106,49,24,23.03887865,76.47039772,6.983395573,90.64770699,Cotton
121,53,19,23.51308653,76.72621429,7.976889498,80.11272117,Cotton
108,60,17,22.75805656,76.75768356,6.558902588,97.76600619,Cotton
116,56,17,24.71252544,77.7293114,7.979090365,85.24963302,Cotton
100,52,19,23.45969093,82.44777468,7.903528673,93.50153555,Cotton
129,43,16,25.5503704,77.85055621,6.73210948,78.58488484,Cotton
118,44,23,22.08458267,82.82904143,6.691690476,67.06459777,Cotton
117,43,25,24.68854799,78.51206972,7.839849298,69.31153566,Cotton
126,37,21,25.84997269,84.16855231,6.61448588,77.03421249,Cotton
120,48,16,22.46054478,75.40989245,7.456971816,71.85436078,Cotton
102,45,16,23.65629976,77.52425987,7.2942193,74.8984994,Cotton
131,56,20,22.00817088,81.83896111,7.762647875,92.23645249,Cotton
114,40,17,24.32630461,80.13456404,6.363406102,69.45072055,Cotton
101,37,18,22.92360984,82.68738535,7.63737841,92.91915074,Cotton
106,46,20,23.43821725,78.63388824,6.200671976,81.15072105,Cotton
113,38,20,22.10718988,78.58320116,6.364729934,74.94136567,Cotton
102,53,21,23.03814028,76.11021529,6.913678684,91.49697481,Cotton
110,39,18,24.54795322,75.39752705,7.766259769,63.88079866,Cotton
107,58,15,23.73868041,75.77503808,7.55606399,76.63669195,Cotton
120,60,15,22.31871914,83.86129998,7.288377241,65.35747011,Cotton
12,36,0,29,52,8.062750241,170.3307535,Sugarcane
10,14,13,31,62,7.143039142,168.4773255,Sugarcane
12,12,14,34,65,7.929240731,154.9011463,Sugarcane
38,0,0,32,62,7.632674947,131.7016877,Sugarcane
12,40,0,30,60,5.526456227,164.4718812,Sugarcane
10,32,7,30,60,5.846851688,128.5599899,Sugarcane
35,0,0,34,65,5.333271547,159.6492414,Sugarcane
11,15,13,25,50,8.288162935,117.122973,Sugarcane
9,13,0,34,65,7.446491553,111.4462932,Sugarcane
